country,continent,bmi,population,lifeexp_female,life_expectancy,che_gdp_pct,gdp,status,gdp_mil,pop_mil,gdp_per_cap
Tuvalu,Oceania,30.6,11099,NA,NA,16.7,35492333.86,Developing,35.49233386,0.011099,3197.7956446526714
Uganda,Africa,22.3,38225453,64.5,62.1,6.8,27102650386.6,Developing,27102.6503866,38.225453,709.0210385891306
Ukraine,Europe,26.8,45154029,76.8,72.1,6.9,91030959454.7,Developing,91030.9594547,45.154029,2016.0096777786982
United Arab Emirates,Asia,28.4,9262900,78.5,77,3.6,358135057862.49,Developing,358135.05786249,9.2629,38663.38380663615
United Kingdom of Great Britain and Northern Ireland,Europe,27.4,65116219,82.9,81.1,9.7,2928591002002.51,Developed,2928591.00200251,65.116219,44974.83187717809
United Republic of Tanzania,Africa,22.9,51482633,65.4,63.4,3.6,47378599025.3,Developing,47378.599025300005,51.482633,920.2831375252312
United States of America,North America,29,320635163,81,78.6,16.8,18219297584000,Developed,18219297.584,320.635163,56822.518820245554
Uruguay,South America,27.5,3412009,80.6,76.8,9,53274304222.18,Developing,53274.30422218,3.412009,15613.764272655788
Uzbekistan,Asia,26.3,31298900,74.8,72.1,6.1,81847410181.8,Developing,81847.4101818,31.2989,2615.0251344871544
Vanuatu,Oceania,26,271130,73.9,71.8,4.2,759689950.93,Developing,759.6899509299999,0.27113,2801.939847785195
Venezuela (Bolivarian Republic of),South America,26.6,30081829,78.9,73.9,5.1,NA,Developing,NA,30.081829,NA
Viet Nam,Asia,21.7,92677076,80.7,76.2,5.7,193241108709.54,Developing,193241.10870954,92.677076,2085.1014840988296
Yemen,Asia,23.3,26497889,66.2,64.5,4.2,42628328212.1,Developing,42628.3282121,26.497889,1608.744312126147
Zambia,Africa,22.1,15879361,63.6,61.7,4.4,21243350632.5,Developing,21243.3506325,15.879361,1337.796315135099
Zimbabwe,Africa,23.3,13814629,62.4,60.8,7.5,19963120600,Developing,19963.1206,13.814629,1445.071061987984
